,/ram/load/0,/ram/data/0,/ram/data/1
Time,"Memory","Used Memory","Available Memory"
09/22/2021 16:53:31,66.67112,10.5056686,5.25178146
09/22/2021 16:54:01,67.02666,10.5616913,5.195759
09/22/2021 16:54:31,67.4723358,10.63192,5.12553024
09/22/2021 16:55:02,67.59382,10.651062,5.106388
09/22/2021 16:55:32,67.9109344,10.7010307,5.05641937
09/22/2021 16:56:02,67.23761,10.5949326,5.16251755
09/22/2021 16:56:32,68.74829,10.8329773,4.924473
09/22/2021 16:57:02,68.596405,10.8090439,4.948406
09/22/2021 16:57:32,68.5727,10.8053093,4.952141
09/22/2021 16:58:02,68.34856,10.769989,4.987461
09/22/2021 16:58:32,69.97336,11.0260162,4.731434
09/22/2021 16:59:02,71.91413,11.3318329,4.425617
09/22/2021 16:59:32,73.9060059,11.6457024,4.11174774
09/22/2021 17:00:02,73.9201,11.6479225,4.10952759
09/22/2021 17:00:32,73.44401,11.5729027,4.18454742
09/22/2021 17:01:02,73.4607544,11.5755424,4.18190765
09/22/2021 17:01:33,73.24472,11.5415,4.21595
09/22/2021 17:02:03,72.8062439,11.4724083,4.285042
09/22/2021 17:02:33,73.55658,11.590641,4.166809
09/22/2021 17:03:03,68.97357,10.8684769,4.888973
09/22/2021 17:03:33,67.6447,10.6590805,5.0983696
09/22/2021 17:04:03,67.52993,10.640995,5.116455
09/22/2021 17:04:33,68.24148,10.7531166,5.0043335
09/22/2021 17:05:03,68.3266449,10.7665367,4.99091339
09/22/2021 17:05:33,68.29188,10.7610588,4.9963913
09/22/2021 17:06:03,68.12418,10.7346344,5.0228157
09/22/2021 17:06:33,67.73074,10.6726379,5.084812
09/22/2021 17:07:03,67.8467255,10.6909142,5.066536
09/22/2021 17:07:33,68.0102844,10.7166862,5.040764
09/22/2021 17:08:03,67.9844055,10.7126083,5.044842
09/22/2021 17:08:33,68.0255356,10.7190895,5.0383606
09/22/2021 17:09:03,67.9991,10.7149239,5.04252625
09/22/2021 17:09:33,68.16556,10.7411537,5.01629639
09/22/2021 17:10:03,68.1990662,10.7464333,5.011017
09/22/2021 17:10:34,68.01256,10.7170448,5.04040527
09/22/2021 17:11:04,68.04163,10.7216263,5.035824
09/22/2021 17:11:34,68.0671,10.7256393,5.03181076
09/22/2021 17:12:04,68.27324,10.7581215,4.99932861
09/22/2021 17:12:34,68.3508759,10.7703552,4.987095
09/22/2021 17:13:04,68.14517,10.7379417,5.01950836
09/22/2021 17:13:34,68.43154,10.7830658,4.97438431
09/22/2021 17:14:04,68.41179,10.779953,4.977497
09/22/2021 17:14:34,68.34964,10.7701607,4.98728943
09/22/2021 17:15:04,67.99501,10.7142792,5.043171
